Họ thực vật,Tên Khoa học,"Tên Khoa học Yến, Hoài edit",Tên địa phương,Tên phổ thông,"Tên địa phương 
(Tiếng Dao)",Nơi sống,Dạng sống,Công dụng (Chữa gì),Giá trị,Bộ phận dùng,Cách dùng,Mức độ thường sử dụng,Số người sử dụng,Trữ lượng hiện còn ,Nguồn thu hái,Kỹ thuật trồng,Tiềm năng PT cung cấp thị trường,Phát hiện món ăn chế biến,Giá trị dinh dưỡng
Passifloraceae,Passiflora foetida ,Passiflora foetida L.,Lạc tiên,Lạc tiên,Lạc tiên,Rừng vườn,Dây leo,Mất ngủ,Ăn Th,Ngọn lá non,Uống,Thỉnh thoảng,Ít,Không nhiều,Tự nhiên trồng,Dễ,Ít tiềm năng,Chưa,Thấp
 Plantaginaceae,Plantago major ,Plantago major L.,Mã đề,Mã đề,Sàng chầy,Rừng vườn,Cỏ,Ho thận dạ dày,Ăn Th,Thân rễ lá,Uống,Thỉnh thoảng,Nhiều,Nhiều,Tự nhiên,Dễ,Tiềm năng,Chưa,Thấp
Rutaceae,Zanthoxylum rhetsa,Chưa có đủ thông tin,Mắc khén,Mắc khén,Tầm lay toong đẻng,Rừng,Gỗ nhỏ,Xương khớp đau bụng,Ăn Th,Hạt,Gia vị sắc uống,Thường xuyên,Nhiều,Không nhiều,Tự nhiên trồng,Dễ,Tiềm năng,Đã thấy,Thấp
Costaceae ,Costus speciosus ,Costus sp.,Mía dò,Mía dò,Điền dậy lình,Rừng,Dây leo,Tiểu buốt,Ăn Th,Ngọn lá non,Canh xào sắc uống,Hiếm khi,Ít,Nhiều,Tự nhiên,Không biết,Ít tiềm năng,Chưa,Thấp
Lamiaceae,Clerodendrum chinense  ,Trùng với TT 59-60,Mò ?????,Mò ,Diều pầm,Rừng vườn,Bụi,Khớp lưng khí hư,Ăn Th,Rễ lá hoa,Xào sắc uống,Hiếm khi,Ít,Nhiều,Tự nhiên,Dễ,Ít tiềm năng,Chưa,Thấp
Rubiaceae ,Paederia lanuginosa ,Paederia lanuginosa Wall.,Mơ tam thể,Mơ tam thể,Cù puất mây  ,Rừng vườn,Dây leo,Đường ruột,Ăn Th,Lá non,Ăn sống  sắc uống,Thường xuyên,Nhiều,Nhiều,Trồng,Dễ,Đã phổ biến,Đã thấy,Thấp
Rutaceae,Clausena indica ,Clausena indica L.,Móc mật,Móc mật,Móc mật,Rừng vườn,Gỗ nhỏ,Đau đầu đau bụng gãy xương ,Ăn Th,Lá hạt,Gia vị sắc uống,Thường xuyên,Nhiều,Nhiều,Tự nhiên trồng,Dễ,Đã phổ biến,Đã thấy,Thấp
Auriculariaceae,Auricularia heimuer,Chưa có đủ thông tin,Mộc nhĩ,Mộc nhĩ,Chiêu kíia,Rừng,Ký sinh,Suy nhược cơ thể,Ăn Th,Quả thể,Canh xào,Thường xuyên,Nhiều,Nhiều,Tự nhiên trồng,Khó,Đã phổ biến,Đã thấy,Thấp
Pluteaceae,Volvariella volvacea,Chưa có đủ thông tin,Nấm,Nấm,Chiêu  ,Rừng,Ký sinh,Xương tiêu hóa ung thư,Ăn Th,Quả thể,Canh xào,Thường xuyên,Nhiều,Không nhiều,Tự nhiên trồng,Khó,Đã phổ biến,Đã thấy,Cao
Actinidiaceae,Saurauia tristyla ,Saurauia tristyla DC. ???,Nắng sổ,Nắng sổ,Mù pệt,Rừng,Gỗ nhỏ,Gan khớp khai vị,Ăn Th,Thân rễ quả,Ăn sống sắc uống,Hiếm khi,Ít,Nhiều,Tự nhiên,Khó,Ít tiềm năng,Chưa,Thấp
 Asteraceae,Artemisia vulgaris.,Artemisia vulgaris L.,Ngải cứu,Ngải cứu,Ngoại,Rừng vườn,Cỏ,Điều hòa kinh nguyệt đau lưng,Ăn Th,Ngọn lá non,Lẩu canh xào luộc sắc uống,Thường xuyên,Nhiều,Nhiều,Tự nhiên trồng,Dễ,Đã phổ biến,Đã thấy,Trung bình
Rosaceae,Rubus cochinchinensis,Rubus cochinchinensis Tratt.,Ngấy hương,Ngấy hương,Gụng đang,Rừng vườn,Dây leo,Đường tiêu hóa,Ăn Th,Ngọn lá non quả,Lẩu sắc uống,Thỉnh thoảng,Không nhiều,Không nhiều,Tự nhiên,Không biết,Tiềm năng,Đã thấy,Trung bình
Araliaceae,Schefflera heptaphylla,Schefflera sp.,Ngũ gia bì (gai) chân chim,Ngũ gia bì,Đẻng tây mây,Rừng vườn,Bụi,Thấp khớp liệt dương,Ăn Th,Ngọn lá non thân,Lẩu canh xào sắc uống,Thỉnh thoảng,Không nhiều,Nhiều,Tự nhiên,Không biết,Tiềm năng,Đã thấy,Thấp
Euphorbiaceae,Bischofia javanica,Bischofia javanica BL.,Nhội,Nhội,Chì puông,Rừng vườn,Gỗ,Ung thư dạ dày gan phổi họng,Ăn,Lá non,Ăn sống,Thường xuyên,Không nhiều,Nhiều,Tự nhiên,Không biết,Tiềm năng,Đã thấy,Thấp
Bignoniaceae,Oroxylum indicum,Oroxylum indicum (L.) Vefit.,Núc nác,Núc nác,Ngồng pang đẻng,Rừng vườn,Gỗ nhỏ,Ho gan dạ dày,Ăn Th,Lá non,Canh xào sắc uống,Thỉnh thoảng,Không nhiều,Không nhiều,Tự nhiên,Dễ,Tiềm năng,Chưa,Thấp
Lamiaceae,Clerodendrum quadriloculare,Chưa có đủ thông tin,Pháo hom,Pháo hom,Pháo hom,Rừng vườn,Cỏ,Đau bụng,Ăn,Lá non,Xào,Thỉnh thoảng,Không nhiều,Không nhiều,Tự nhiên,Không biết,Tiềm năng,Đã thấy,Thấp
Moraceae,Ficus callosa,Ficus sp.,Rau báng,Rau báng,Đẻng vâm,Rừng vườn,Gỗ nhỏ,Cảm sốt,Ăn,Lá non,Canh xào,Thường xuyên,Không nhiều,Nhiều,Tự nhiên,Không biết,Tiềm năng,Đã thấy,Thấp
Erythropalaceae,Erythropalum scandens,Erythropalum scandens Blume.,Bò khai ,Bò khai ,Chay cảu đụn mây,Rừng,Dây leo,Sỏi thận,Ăn Th,Lá non,Xào,Thường xuyên,Nhiều,Nhiều,Tự nhiên trồng,Dễ,Rất tiềm năng,Đã thấy,Cao
Piperaceae,Peperomia pellucida,Peperomia pellucida Kunth.,Rau càng cua,Rau càng cua,Gùng guay lay,Rừng vườn,Cỏ,Viêm họng tiểu đường,Ăn,Lá non,Ăn sống canh,Thường xuyên,Nhiều,Nhiều,Tự nhiên,Khó,Tiềm năng,Đã thấy,Trung bình
Athyriaceae,Diplazium esculentum ,Diplazium esculentum (Retz.) Sw.,Rau dớn,Rau dớn,Nhải chất,Rừng,Bụi,Đau đầu ho tiêu chảy,Ăn,Lá non,Xào nộm luộc,Thường xuyên,Nhiều,Nhiều,Tự nhiên,Khó,Rất tiềm năng,Đã thấy,Trung bình
Apiaceae,Centella asiatica ,Hydrocotyle wilfordii Maxim.,Rau má rừng,Rau má rừng,Rau má,Rừng,Cỏ,Mệt mỏi trầm cảm giãn tĩnh mạch.,Th,Thân rễ lá,Ăn sống canh xào,Thường xuyên,Không nhiều,Nhiều,Tự nhiên,Dễ,Tiềm năng,Đã thấy,Thấp
Opiliaceae, Melientha suavis,Melientha suavis Pierre,Rau sắng,Rau sắng,Đẻng cam kềm,Rừng vườn,Gỗ nhỏ,Nhiệt miệng,Ăn,Ngọn lá non,Canh xào,Thường xuyên,Nhiều,Ít,Tự nhiên trồng,Khó,Rất tiềm năng,Đã thấy,Cao
Asteraceae,Crassocephalum crepidioides,Crassocephalum crepidioides (Benth.) S.Moore,Rau tàu bay,Rau tàu bay,Rau tàu bay,Rừng,Cỏ, Men gan phì đại tuyến tiền liệt bướu cổ.,Ăn Th,Ngọn lá non,Canh xào,Thường xuyên,Nhiều,Nhiều,Tự nhiên trồng,Dễ,Rất tiềm năng,Đã thấy,Cao
Zingiberaceae,Alpinia xanthioides ,Alpinia sp.,"Sa nhân 
","Sa nhân 
",Sùng sa,Rừng vườn,Cỏ,Dạ dạy xương khớp,Th,Hạt,Sắc uống,Thỉnh thoảng,Nhiều,Không nhiều,Tự nhiên trồng,Dễ,Đã phổ biến,Đã thấy,Thấp
Asparagaceae,Curculigo orchioides,Dracaena sp. (Dracaena angustifolia Roxb.?),Sâm cau,Sâm cau,Quyền diêm pẹ ,Rừng vườn,Gỗ nhỏ,Đau bụng liệt dương,Ăn Th,Hoa,Xào sắc uống,Hiếm khi,Không nhiều,Ít,Tự nhiên,Không biết,Tiềm năng,Chưa,Thấp
Moraceae,Ficus racemosa,Ficus sp.,Sung,Sung,Chì cộ goăng,Rừng vườn,Gỗ,Nhức đầu,Ăn Th,Ngọn lá non quả,Ăn sống kho cá muối sắc uống,Thường xuyên,Nhiều,Nhiều,Tự nhiên trồng,Dễ,Đã phổ biến,Đã thấy,Thấp
Solanaceae,Physalis angulata ,Solanum americanum Mill.,Tầm bóp ,Tầm bóp ,Bọ poòng mây,Rừng vườn,Cỏ,Cảm sốt tiểu đường ung thư,Ăn,Ngọn lá non quả,Canh xào,Thường xuyên,Nhiều,Nhiều,Tự nhiên trồng,Dễ,Rất tiềm năng,Đã thấy,Cao
Polygonaceae,Polygonum perfoliatum ,Polygonum perfoliatum L.,Thồm lồm gai,Thồm lồm gai,Sùi lơu lọ,Rừng vườn,Cỏ,Trĩ,Ăn Th,Ngọn lá non quả,Ăn sống canh,Thỉnh thoảng,Không nhiều,Không nhiều,Tự nhiên,Không biết,Ít tiềm năng,Chưa,Thấp
Begoniaceae,Begonia tonkinensis ,Begonia sp., Thu hải đường Bắc Bộ??, Thu hải đường Bắc Bộ,Gụng xui kẻng,Rừng,Cỏ,Đau họng,Ăn Th,Ngọn lá non,Ăn sống lẩu canh xào luộc,Thỉnh thoảng,Không nhiều,Không nhiều,Tự nhiên,Không biết,Ít tiềm năng,Đã thấy,Thấp
Begoniaceae,Begonia aptera ,Begonia sp.,Thu hải đường không cánh??,Thu hải đường không cánh,Gụng xui  ,Rừng,Cỏ,Đau họng,Ăn,Ngọn lá non,Ăn sống lẩu canh xào luộc,Thỉnh thoảng,Không nhiều,Không nhiều,Tự nhiên,Không biết,Ít tiềm năng,Đã thấy,Thấp
Burseraceae,Canarium bengalense ,Chưa có đủ thông tin,Trám ba cạnh,Trám ba cạnh,Piều lam lòong,Rừng,Gỗ,Ho viêm họng,Ăn,Quả,Om cá thịt đồ xôi,Thỉnh thoảng,Nhiều,Không nhiều,Tự nhiên,Khó,Đã phổ biến,Đã thấy,Trung bình
Burseraceae, Canarium nigrum,Canarium tramdenum Dai & Ykovl.,Trám đen,Trám đen,Piều lam kíia,Rừng vườn,Gỗ,Viêm họng sâu răng kiết lỵ,Ăn,Quả,Om cá thịt đồ xôi,Thỉnh thoảng,Nhiều,Không nhiều,Tự nhiên trồng,Khó,Đã phổ biến,Đã thấy,Cao
Burseraceae,Canarium tramvangum,Chưa có đủ thông tin,Trám vàng,Trám vàng,Piều lam vèng,Rừng vườn,Gỗ,Viêm họng đau nhức răng,Ăn,Quả,Om cá thịt đồ xôi,Thỉnh thoảng,Nhiều,Không nhiều,Tự nhiên,Khó,Đã phổ biến,Đã thấy,Trung bình
Moraceae,Ficus auriculata,Ficus auriculata Lour.,Vả,Vả,Mù pò,Rừng vườn,Gỗ,Kiết lỵ trĩ táo bón suy nhược cơ thể,Ăn,Lá quả,Ăn sống,Thỉnh thoảng,Không nhiều,Nhiều,Tự nhiên trồng,Dễ,Tiềm năng,Đã thấy,Thấp
 Moraceae,Ficus heterophyllus,Ficus heterophylla L. f. var. heterophylla.,Vú bò,Vú bò,Nhầm nhỏ ha,Rừng vườn,Bụi, Tắc tia sữa ho,Ăn Th,Thân rễ lá quả,Sắc uống,Hiếm khi,Không nhiều,Không nhiều,Tự nhiên,Không biết,Ít tiềm năng,Đã thấy,Thấp
Asteraceae ,Wedelia trilobata,Bidens pilosa L.,Xuyến chi,Xuyến chi,Chày kọng ghìm,Rừng vườn,Cỏ,Tim mạch tiêu hóa,Ăn Th,Lá non,Xào,Thỉnh thoảng,Không nhiều,Không nhiều,Tự nhiên,Không biết,Tiềm năng,Chưa,Thấp
Poaceae,Coix lacryma-jobi ,Coix lachryma-jobi L.,Ý dĩ,Ý dĩ,Mệ hụ,Rừng vườn,Cỏ,Tiêu hóa áp xe ho,Ăn Th,Thân lá quả,Lẩu nấu cháo,Thường xuyên,Nhiều,Không nhiều,Tự nhiên trồng,Dễ,Đã phổ biến,Đã thấy,Thấp
Poaceae,Arundinaria baviensis,Chưa có đủ thông tin,Sặt Ba Vì,Sặt Ba Vì,Hàu cam,Rừng,Bụi,Giảm cân,Ăn,Măng,Canh xào luộc ninh,Thỉnh thoảng,Không nhiều,Không nhiều,Tự nhiên,Dễ,Tiềm năng,Chưa,Thấp
Poaceae,Ampelocalamus patellaris ,Chưa có đủ thông tin,Giang,Giang,Hàu tăng,Rừng,Dây leo,Giảm cân,Ăn,Măng,Canh xào luộc ninh,Thỉnh thoảng,Không nhiều,Không nhiều,Tự nhiên,Dễ,Đã phổ biến,Đã thấy,Thấp
Poaceae,Bambusa blumeana ,Chưa có đủ thông tin,Tre gai,Tre gai,Hàu ghim,Rừng vườn,Gỗ,Giảm cân,Ăn,Măng,Canh xào luộc ninh,Hiếm khi,Không nhiều,Không nhiều,Trồng,Dễ,Ít tiềm năng,Chưa,Thấp
Poaceae,Dendrocalamus velutinus,Chưa có đủ thông tin,Bương mốc,Bương mốc,Hàu chuổng,Rừng vườn,Gỗ,Giảm cân,Ăn,Măng,Canh xào luộc ninh,Thường xuyên,Nhiều,Nhiều,Trồng,Dễ,Đã phổ biến,Đã thấy,Trung bình
Cucurbitaceae,Momordica cochinchinensis ,Momordica cochinchinensis (Lour.) spreng.,Gấc,Gấc,Đìa tộ,Vườn,Dây leo,Trĩ sưng vú mắt,Ăn Th,Ngọn lá non quả,Xào luộc đồ sôi,Thường xuyên,Nhiều,Nhiều,Tự nhiên trồng,Dễ,Đã phổ biến,Đã thấy,Cao
Verbenaceae,Clerodendrum kaempferi ,Clerodendrum japonicum (Thunb.) Sweet,Mò đỏ,Mò đỏ,Diều pầm sií,Rừng vườn,Bụi,Gan ho,Th,Cả cây,Xào sắc uống,Hiếm khi,Ít,Không nhiều,Tự nhiên,Không biết,Ít tiềm năng,Chưa,Thấp
Verbenaceae,Clerodendrum philippinum ,Clerodendrum chinense (Osb.) Mabb. var. simplex (Mold.) S.L. Chen,Mò trắng,Mò trắng,Diều pầm pẹ,Rừng vườn,Bụi,Gan ho,Th,Cả cây,Xào sắc uống,Hiếm khi,Ít,Không nhiều,Tự nhiên,Không biết,Ít tiềm năng,Chưa,Thấp
